date,region,categorie,transactions,ca,marge_pct
2024-01-01,Nord,Électronique,56,4192.22,0.2172
2024-01-01,Nord,Vêtements,51,2623.82,0.4564
2024-01-01,Nord,Alimentation,56,2595.08,0.1953
2024-01-01,Nord,Maison,47,2471.55,0.3395
2024-01-01,Nord,Sport,32,2055.02,0.3417
2024-01-01,Sud,Électronique,103,5249.88,0.1895
2024-01-01,Sud,Vêtements,51,3264.3,0.4218
2024-01-01,Sud,Alimentation,40,2674.19,0.192
2024-01-01,Sud,Maison,43,3030.03,0.3522
2024-01-01,Sud,Sport,47,2345.68,0.3989
2024-01-01,Est,Électronique,64,3198.26,0.257
2024-01-01,Est,Vêtements,28,2297.54,0.4499
2024-01-01,Est,Alimentation,35,2046.34,0.1556
2024-01-01,Est,Maison,50,2640.09,0.3739
2024-01-01,Est,Sport,36,1779.25,0.3834
2024-01-01,Ouest,Électronique,58,3294.68,0.1883
2024-01-01,Ouest,Vêtements,43,2465.66,0.4711
2024-01-01,Ouest,Alimentation,24,1862.77,0.1827
2024-01-01,Ouest,Maison,48,2179.23,0.3622
2024-01-01,Ouest,Sport,25,1875.45,0.3978
2024-01-01,Île-de-France,Électronique,91,7313.64,0.2138
2024-01-01,Île-de-France,Vêtements,103,4924.35,0.472
2024-01-01,Île-de-France,Alimentation,55,4083.49,0.1561
2024-01-01,Île-de-France,Maison,84,5376.59,0.3559
2024-01-01,Île-de-France,Sport,53,4033.41,0.3671
2024-01-02,Nord,Électronique,69,4514.37,0.2268
2024-01-02,Nord,Vêtements,49,2276.41,0.4664
2024-01-02,Nord,Alimentation,31,2042.5,0.2008
2024-01-02,Nord,Maison,41,2546.45,0.3571
2024-01-02,Nord,Sport,39,1888.71,0.3949
2024-01-02,Sud,Électronique,56,4609.26,0.21
2024-01-02,Sud,Vêtements,45,3661.21,0.4732
2024-01-02,Sud,Alimentation,33,2696.66,0.1903
2024-01-02,Sud,Maison,43,3515.68,0.3535
2024-01-02,Sud,Sport,42,2325.61,0.3734
2024-01-02,Est,Électronique,46,3702.38,0.2142
2024-01-02,Est,Vêtements,38,2400.98,0.4453
2024-01-02,Est,Alimentation,31,1859.25,0.1742
2024-01-02,Est,Maison,32,2132.13,0.3581
2024-01-02,Est,Sport,18,1553.25,0.4081
2024-01-02,Ouest,Électronique,53,3033.85,0.2195
2024-01-02,Ouest,Vêtements,39,2580.96,0.4413
2024-01-02,Ouest,Alimentation,39,2016.48,0.186
2024-01-02,Ouest,Maison,43,2366.64,0.3499
2024-01-02,Ouest,Sport,35,1955.84,0.395
2024-01-02,Île-de-France,Électronique,104,7337.09,0.2477
2024-01-02,Île-de-France,Vêtements,120,5862.91,0.4938
2024-01-02,Île-de-France,Alimentation,82,4303.15,0.1985
2024-01-02,Île-de-France,Maison,70,5080.18,0.3399
2024-01-02,Île-de-France,Sport,72,3922.87,0.3727
2024-01-03,Nord,Électronique,50,3689.34,0.2295
2024-01-03,Nord,Vêtements,59,3022.97,0.4468
2024-01-03,Nord,Alimentation,26,2159.63,0.1736
2024-01-03,Nord,Maison,35,2518.03,0.3611
2024-01-03,Nord,Sport,31,2052.68,0.4061
2024-01-03,Sud,Électronique,59,4800.07,0.2159
2024-01-03,Sud,Vêtements,61,3593.18,0.4656
2024-01-03,Sud,Alimentation,38,3108.73,0.1627
2024-01-03,Sud,Maison,45,3231.48,0.3569
2024-01-03,Sud,Sport,55,2508.61,0.3969
2024-01-03,Est,Électronique,76,3438.78,0.2057
2024-01-03,Est,Vêtements,33,2433.57,0.4257
2024-01-03,Est,Alimentation,23,1737.02,0.1931
2024-01-03,Est,Maison,27,2030.2,0.3274
2024-01-03,Est,Sport,25,1809.48,0.3883
2024-01-03,Ouest,Électronique,55,3335.23,0.2229
2024-01-03,Ouest,Vêtements,28,2377.83,0.4337
2024-01-03,Ouest,Alimentation,31,2191.96,0.1752
2024-01-03,Ouest,Maison,33,2306.4,0.3791
2024-01-03,Ouest,Sport,21,1590.38,0.3793
2024-01-03,Île-de-France,Électronique,86,7168.34,0.2296
2024-01-03,Île-de-France,Vêtements,66,5544.39,0.4648
2024-01-03,Île-de-France,Alimentation,52,4176.51,0.1497
2024-01-03,Île-de-France,Maison,69,4666.62,0.3397
2024-01-03,Île-de-France,Sport,58,3974.31,0.3877
2024-01-04,Nord,Électronique,48,4106.5,0.2038
2024-01-04,Nord,Vêtements,36,2893.41,0.4271
2024-01-04,Nord,Alimentation,33,2464.81,0.2013
2024-01-04,Nord,Maison,29,2306.33,0.3312
2024-01-04,Nord,Sport,25,2065.1,0.3851
2024-01-04,Sud,Électronique,66,5131.05,0.2971
2024-01-04,Sud,Vêtements,50,3894.78,0.4698
2024-01-04,Sud,Alimentation,45,2744.98,0.1952
2024-01-04,Sud,Maison,69,3209.82,0.3329
2024-01-04,Sud,Sport,51,2920.27,0.3427
2024-01-04,Est,Électronique,69,3248.57,0.2216
2024-01-04,Est,Vêtements,46,2309.39,0.4718
2024-01-04,Est,Alimentation,40,2159.67,0.1826
2024-01-04,Est,Maison,43,2033.79,0.3543
2024-01-04,Est,Sport,28,2001.09,0.4169
2024-01-04,Ouest,Électronique,39,3003.35,0.2237
2024-01-04,Ouest,Vêtements,51,2468.97,0.4166
2024-01-04,Ouest,Alimentation,34,2130.74,0.1973
2024-01-04,Ouest,Maison,40,2242.39,0.3436
2024-01-04,Ouest,Sport,28,2045.1,0.3881
2024-01-04,Île-de-France,Électronique,116,8076.64,0.253
2024-01-04,Île-de-France,Vêtements,83,4919.32,0.4403
2024-01-04,Île-de-France,Alimentation,89,4394.92,0.2174
2024-01-04,Île-de-France,Maison,71,3733.12,0.3295
2024-01-04,Île-de-France,Sport,47,3294.38,0.354
2024-01-05,Nord,Électronique,64,3890.06,0.2226
2024-01-05,Nord,Vêtements,36,2893.48,0.497
2024-01-05,Nord,Alimentation,44,2123.09,0.1892
2024-01-05,Nord,Maison,37,2550.02,0.3512
2024-01-05,Nord,Sport,33,2034.31,0.3932
2024-01-05,Sud,Électronique,70,4685.49,0.2622
2024-01-05,Sud,Vêtements,41,3477.26,0.4618
2024-01-05,Sud,Alimentation,46,2706.42,0.1842
2024-01-05,Sud,Maison,60,3018.63,0.367
2024-01-05,Sud,Sport,33,2651.66,0.4091
2024-01-05,Est,Électronique,63,3578.5,0.2326
2024-01-05,Est,Vêtements,32,2505.93,0.4358
2024-01-05,Est,Alimentation,32,1916.79,0.1823
2024-01-05,Est,Maison,24,2044.36,0.3732
2024-01-05,Est,Sport,21,1650.74,0.402
2024-01-05,Ouest,Électronique,42,3467.04,0.2252
2024-01-05,Ouest,Vêtements,48,2827.36,0.4504
2024-01-05,Ouest,Alimentation,44,2008.81,0.1971
2024-01-05,Ouest,Maison,28,2363.75,0.3474
2024-01-05,Ouest,Sport,32,2066.15,0.4013
